slice,window,n,years,meanProbabilityA,observedWinRateA,calibrationResidualA,meanFavoriteProbability,accuracy,favoriteResidual,favoriteResidualNaiveSE,logloss,brier,lossContribution
"favorite_probability:[0.7,0.8)",2010,611,1,0.5073898050989647,0.5008183306055647,-0.006571474493400027,0.747084026521447,0.7397708674304418,-0.007313159091005108,0.017732114915656454,0.5715480910778559,0.19185450091893846,0.013033361336439873
"favorite_probability:[0.7,0.8)",2011,571,1,0.5081821781477137,0.5026269702276708,-0.0055552079200430066,0.7483806187897888,0.7548161120840631,0.006435493294274271,0.01792948653904994,0.552178978081285,0.18327731347970533,0.011767343303889444
"favorite_probability:[0.7,0.8)",2012,601,1,0.5000204973549942,0.4891846921797005,-0.01083580517529374,0.7474485660746116,0.7487520798668885,0.0013035137922768364,0.017699213861811565,0.5632821497118388,0.18795900194389215,0.01263464103817329
"favorite_probability:[0.7,0.8)",2013,579,1,0.49478549000279515,0.4835924006908463,-0.01119308931194881,0.7478763174652913,0.7271157167530224,-0.020760600712268776,0.018552904352307574,0.5888597688230816,0.1993845327675291,0.012724856540589842
"favorite_probability:[0.7,0.8)",2014,538,1,0.4938296652784015,0.5037174721189591,0.009887806840557543,0.7473735759623946,0.7434944237918215,-0.003879152170573124,0.01888184454842539,0.571317702361425,0.19146846457839667,0.011471557955902314
"favorite_probability:[0.7,0.8)",2015,483,1,0.5035746255485687,0.4968944099378882,-0.006680215610680454,0.7442708426503546,0.7412008281573499,-0.0030700144930046205,0.019962398899134162,0.572497145382143,0.1920851572365169,0.010320076181965182
"favorite_probability:[0.7,0.8)",2016,627,1,0.5258001762252362,0.5087719298245614,-0.017028246400674903,0.7451176274054756,0.7527910685805422,0.007673441175066646,0.01713791639689306,0.5532883326437991,0.18392020139470414,0.01294736823795111
"favorite_probability:[0.7,0.8)",2017,561,1,0.5128872063376029,0.5115864527629234,-0.0013007535746794097,0.745864212877788,0.750445632798574,0.004581419920786042,0.018257514805816766,0.560156480927714,0.18668962366387684,0.011728289385700065
"favorite_probability:[0.7,0.8)",2018,533,1,0.5031210550246256,0.5028142589118199,-0.00030679611280562543,0.7476416785965051,0.7485928705440901,0.0009511919475849163,0.01865818056107809,0.555770249166421,0.18520484215021063,0.011055667045073613
"favorite_probability:[0.7,0.8)",2019,552,1,0.5147691467957239,0.5380434782608695,0.023274331465145508,0.7468310769326668,0.782608695652174,0.03577761871950716,0.01755903667524386,0.5261676910377469,0.17116423069960843,0.010839910631217298
"favorite_probability:[0.8,0.9)",tune,4104,10,0.5171322837855316,0.5187621832358674,0.0016298994503360154,0.8450896742766087,0.8399122807017544,-0.005177393574854324,0.00570917129019297,0.43717248798304853,0.13376260027982217,0.06696110661649739
